Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Maig,2015,LLE,1,4,16
Maig,2015,LLE,2,4,12
Maig,2015,LLE,3,4,22
Maig,2015,LLE,4,4,37
Maig,2015,LLE,5,4,6
Maig,2015,XAL,1,4,28
Maig,2015,XAL,2,4,22
Maig,2015,XAL,3,4,31
Maig,2015,XAL,4,4,7
Juny,2015,GRE,1,4,13
Juny,2015,GRE,2,4,6
Juny,2015,LLE,1,4,12
Juny,2015,LLE,2,4,5
Juny,2015,LLE,3,4,20
Juny,2015,LLE,4,4,21
Juny,2015,LLE,5,4,2
Juny,2015,XAL,1,4,15
Juny,2015,XAL,3,4,33
Juny,2015,XAL,4,4,5
Juny,2015,XAL,4,4,5
Juliol,2015,GRE,2,4,4
Juliol,2015,LLE,1,4,51
Juliol,2015,LLE,2,4,17
Juliol,2015,LLE,3,4,23
Juliol,2015,LLE,4,4,40
Juliol,2015,XAL,1,4,6
Juliol,2015,XAL,2,4,4
Juliol,2015,XAL,3,4,16
Juliol,2015,XAL,4,4,18
Agost,2015,GRE,2,4,3
Agost,2015,LLE,1,4,37
Agost,2015,LLE,2,4,7
Agost,2015,LLE,3,4,11
Agost,2015,LLE,4,4,6
Agost,2015,LLE,5,4,1
Agost,2015,XAL,2,4,3
Agost,2015,XAL,3,4,6
Agost,2015,XAL,4,4,4
Septembre,2015,GRE,1,4,7
Septembre,2015,LLE,1,4,42
Septembre,2015,LLE,2,4,10
Septembre,2015,LLE,3,4,7
Septembre,2015,LLE,4,4,12
Septembre,2015,XAL,1,4,6
Septembre,2015,XAL,2,4,7
Septembre,2015,XAL,3,4,21
Septembre,2015,XAL,4,4,4
Juny,2015,XAL,2,4,10
Septembre,2015,XAL,5,4,3
Octubre,2015,GRE,1,4,5
Octubre,2015,GRE,2,4,7
Octubre,2015,LLE,1,4,40
Octubre,2015,LLE,2,4,14
Octubre,2015,LLE,3,4,9
Octubre,2015,LLE,4,4,21
Octubre,2015,LLE,5,4,2
Octubre,2015,XAL,1,4,19
Octubre,2015,XAL,2,4,13
Octubre,2015,XAL,3,4,11
Octubre,2015,XAL,4,4,2
Novembre,2015,GRE,2,4,1
Novembre,2015,LLE,1,4,20
Novembre,2015,LLE,2,4,20
Novembre,2015,LLE,3,4,16
Novembre,2015,LLE,4,4,15
Novembre,2015,LLE,5,4,1
Novembre,2015,XAL,1,4,5
Novembre,2015,XAL,2,4,13
Novembre,2015,XAL,3,4,27
Novembre,2015,XAL,4,4,5
Decembre,2015,GRE,1,4,15
Decembre,2015,GRE,2,4,8
Decembre,2015,LLE,1,4,12
Decembre,2015,LLE,2,4,14
Decembre,2015,LLE,3,4,13
Decembre,2015,LLE,4,4,29
Decembre,2015,LLE,5,4,4
Decembre,2015,XAL,1,4,9
Decembre,2015,XAL,2,4,11
Decembre,2015,XAL,3,4,28
Decembre,2015,XAL,4,4,8
Gener,2015,GRE,2,4,7
Gener,2016,LLE,1,6,16
Gener,2015,LLE,5,4,2
Gener,2017,GRE,1,6,3
Gener,2017,GRE,2,6,1
Gener,2017,LLE,1,6,16
Gener,2017,LLE,2,6,10
Gener,2017,LLE,3,6,23
Gener,2017,GRE,4,6,15
Gener,2017,GRE,5,6,3
Gener,2017,XAL,1,6,5
Gener,2017,XAL,2,6,28
Gener,2017,XAL,3,6,11
Gener,2017,XAL,4,6,9
Gener,2017,GRE,1,6,3
Gener,2016,GRE,1,6,3
Febrer,2016,GRE,1,6,5
Febrer,2016,GRE,2,6,9
Febrer,2016,LLE,1,6,8
Febrer,2016,LLE,2,6,42
Febrer,2016,LLE,3,6,14
Febrer,2016,LLE,4,6,5
Febrer,2016,LLE,5,6,2
Febrer,2016,XAL,1,6,3
Febrer,2016,XAL,2,6,8
Febrer,2016,GRE,3,6,34
Març,2016,GRE,1,6,9
Març,2016,GRE,2,6,17
Març,2016,LLE,1,6,4
Març,2016,LLE,2,6,29
Març,2016,LLE,3,6,17
Març,2016,LLE,4,6,2
Març,2016,LLE,5,6,2
Març,2016,XAL,1,6,16
Març,2016,XAL,2,6,5
Març,2016,XAL,3,6,14
Març,2016,XAL,4,6,3
Abril,2016,GRE,1,6,1
Abril,2016,GRE,2,6,7
Abril,2016,LLE,1,6,5
Abril,2016,LLE,2,6,42
Abril,2016,GRE,3,6,3
Abril,2016,LLE,4,6,25
Abril,2016,LLE,5,6,6
Abril,2016,XAL,1,6,27
Abril,2016,XAL,2,6,9
Abril,2016,XAL,3,6,16
Abril,2016,XAL,4,6,8
Maig,2016,GRE,1,6,9
Maig,2016,GRE,2,6,5
Maig,2016,LLE,1,6,4
Maig,2016,LLE,2,6,34
Maig,2016,LLE,3,6,9
Maig,2016,LLE,4,6,22
Maig,2016,LLE,5,6,3
Maig,2016,XAL,1,6,8
Maig,2016,XAL,2,6,20
Maig,2016,XAL,3,6,11
Maig,2016,XAL,4,6,16
Juny,2016,GRE,1,6,24
Juny,2016,GRE,2,6,7
Juny,2016,LLE,1,6,4
Juny,2016,LLE,2,6,20
Juny,2016,LLE,3,6,17
Juny,2016,LLE,4,6,7
Juny,2016,LLE,5,6,5
Juny,2016,XAL,1,6,23
Juny,2016,XAL,2,6,13
Juny,2016,XAL,3,6,14
Juny,2016,XAL,4,6,17
Juliol,2016,GRE,1,6,11
Juliol,2016,GRE,2,6,5
