Error en la consulta del 2013.
[INFO] Connect to Database established 24/03/2020 06:17:30pm
[INFO] Connect to Database established 24/03/2020 06:18:27pm
[INFO] Connect to Database established 24/03/2020 06:18:27pm
[INFO] Connect to Database established 24/03/2020 06:18:33pm
[INFO] Connect to Database established 24/03/2020 06:18:33pm
[INFO] Connect to Database established 24/03/2020 06:21:58pm
[INFO] Connect to Database established 24/03/2020 06:21:58pm
[INFO] Connect to Database established 24/03/2020 06:22:01pm
[INFO] Connect to Database established 24/03/2020 06:22:01pm
[INFO] Connect to Database established 24/03/2020 06:22:03pm
[INFO] Connect to Database established 24/03/2020 06:22:03pm
[INFO] Connect to Database established 24/03/2020 06:22:05pm
[INFO] Connect to Database established 24/03/2020 06:22:05pm
[INFO] Connect to Database established 24/03/2020 06:22:15pm
[INFO] Connect to Database established 24/03/2020 06:22:15pm
[INFO] Connect to Database established 24/03/2020 06:22:18pm
[INFO] Connect to Database established 24/03/2020 06:22:18pm
[INFO] Connect to Database established 24/03/2020 06:22:20pm
[INFO] Connect to Database established 24/03/2020 06:22:20pm
[INFO] Connect to Database established 24/03/2020 06:22:24pm
[INFO] Connect to Database established 24/03/2020 06:22:24pm
[INFO] Connect to Database established 24/03/2020 06:24:22pm
[INFO] Connect to Database established 24/03/2020 06:24:22pm
[INFO] Connect to Database established 24/03/2020 06:25:55pm
[INFO] Connect to Database established 24/03/2020 06:25:55pm
[INFO] Connect to Database established 24/03/2020 06:27:09pm
[INFO] Connect to Database established 24/03/2020 06:27:09pm
[INFO] Connect to Database established 24/03/2020 06:28:31pm
[INFO] Connect to Database established 24/03/2020 06:28:31pm
[INFO] Connect to Database established 24/03/2020 06:29:01pm
[INFO] Connect to Database established 24/03/2020 06:29:01pm
[INFO] Connect to Database established 24/03/2020 06:30:29pm
[INFO] Connect to Database established 24/03/2020 06:30:29pm
[INFO] Connect to Database established 24/03/2020 06:54:19pm
[INFO] Connect to Database established 24/03/2020 06:54:19pm
[INFO] Connect to Database established 24/03/2020 08:34:47pm
[INFO] Connect to Database established 24/03/2020 08:34:50pm
[INFO] Connect to Database established 24/03/2020 08:34:50pm
[INFO] Connect to Database established 24/03/2020 08:35:07pm
[INFO] Connect to Database established 24/03/2020 08:35:07pm
[INFO] Connect to Database established 24/03/2020 08:35:15pm
[INFO] Connect to Database established 24/03/2020 08:35:15pm
[INFO] Connect to Database established 24/03/2020 08:49:08pm
[INFO] Connect to Database established 24/03/2020 08:49:08pm
